Processes,Time,CPUutil,Throughput,AvgWaiting
1000,0.55,99.82,1833,0.00
2000,1.09,99.91,1835,0.00
3000,1.66,99.91,1806,0.00
4000,2.21,99.91,1813,0.00
5000,2.77,99.87,1802,0.01
6000,3.32,99.84,1809,0.01
7000,3.90,99.73,1793,0.01
8000,4.43,99.83,1805,0.01
9000,4.97,99.79,1811,0.01
10000,5.50,99.83,1820,0.01
11000,6.05,99.78,1819,0.02
12000,6.57,99.81,1825,0.02
13000,7.16,99.85,1816,0.02
14000,7.74,99.80,1808,0.02
15000,8.28,99.81,1811,0.02
16000,8.83,99.83,1813,0.02
17000,9.42,99.82,1804,0.02
18000,9.99,99.83,1802,0.02
19000,10.46,99.79,1817,0.03
20000,11.01,99.83,1817,0.03
21000,11.62,99.77,1808,0.03
22000,12.14,99.81,1812,0.03
23000,12.76,99.79,1803,0.04
24000,13.22,99.81,1815,0.04
25000,13.89,99.79,1800,0.04
26000,14.39,99.83,1807,0.04
27000,14.87,99.84,1816,0.04
28000,15.45,99.84,1812,0.04
29000,16.11,99.82,1801,0.04
30000,16.54,99.83,1814,0.04
